Route,Total_Shipments,Avg_Lead_Time,Median_Lead_Time,Std_Lead_Time,Min_Lead_Time,Max_Lead_Time,Delay_Rate,Efficiency_Score
Lot's O' Nuts → Alabama,34,4.74,5.0,1.54,2,8,2.94,46.57
Lot's O' Nuts → Alberta,16,4.88,5.0,0.81,4,6,0.0,44.57
Lot's O' Nuts → Arizona,111,4.32,5.0,1.98,0,8,1.8,52.57
Lot's O' Nuts → Arkansas,31,4.58,4.0,2.26,1,8,6.45,48.86
Lot's O' Nuts → British Columbia,18,4.78,5.0,1.0,2,6,0.0,46.0
Lot's O' Nuts → California,1125,4.11,4.0,1.88,0,8,1.42,55.57
Lot's O' Nuts → Colorado,103,4.12,4.0,1.83,0,8,0.97,55.43
Lot's O' Nuts → Connecticut,47,4.0,4.0,2.12,0,7,0.0,57.14
Lot's O' Nuts → Delaware,43,4.3,5.0,1.98,0,8,4.65,52.86
Lot's O' Nuts → District of Columbia,8,5.62,6.0,0.52,5,6,0.0,34.0
Lot's O' Nuts → Florida,209,4.2,4.0,1.91,0,8,1.91,54.29
Lot's O' Nuts → Georgia,110,4.15,5.0,1.97,0,8,2.73,55.0
Lot's O' Nuts → Idaho,14,4.14,4.0,1.56,2,7,0.0,55.14
Lot's O' Nuts → Illinois,267,4.45,5.0,1.54,0,8,1.12,50.71
Lot's O' Nuts → Indiana,90,4.51,5.0,1.7,0,8,2.22,49.86
Lot's O' Nuts → Iowa,16,4.69,4.5,1.89,1,7,0.0,47.29
Lot's O' Nuts → Kansas,15,4.2,4.0,1.37,2,7,0.0,54.29
Lot's O' Nuts → Kentucky,77,4.26,4.0,1.71,0,7,0.0,53.43
Lot's O' Nuts → Louisiana,24,3.54,4.0,1.72,0,6,0.0,63.71
Lot's O' Nuts → Maine,6,5.33,5.5,0.82,4,6,0.0,38.14
Lot's O' Nuts → Manitoba,2,2.5,2.5,0.71,2,3,0.0,78.57
Lot's O' Nuts → Maryland,60,4.33,4.5,1.81,0,7,0.0,52.43
Lot's O' Nuts → Massachusetts,76,3.91,4.0,1.62,0,7,0.0,58.43
Lot's O' Nuts → Michigan,147,4.21,4.0,1.95,0,8,1.36,54.14
Lot's O' Nuts → Minnesota,43,5.0,5.0,1.41,2,8,4.65,42.86
Lot's O' Nuts → Mississippi,30,4.33,4.0,1.75,1,8,3.33,52.43
Lot's O' Nuts → Missouri,36,4.58,5.0,1.38,1,6,0.0,48.86
Lot's O' Nuts → Montana,8,4.62,5.0,0.52,4,5,0.0,48.29
Lot's O' Nuts → Nebraska,23,3.65,4.0,1.56,1,5,0.0,62.14
Lot's O' Nuts → Nevada,24,4.67,4.5,2.08,0,7,0.0,47.57
Lot's O' Nuts → New Brunswick,4,4.25,4.0,0.5,4,5,0.0,53.57
Lot's O' Nuts → New Hampshire,13,3.46,4.0,1.33,1,5,0.0,64.86
Lot's O' Nuts → New Jersey,65,4.89,5.0,1.68,2,8,4.62,44.43
Lot's O' Nuts → New Mexico,18,5.44,5.0,1.2,2,8,5.56,36.57
Lot's O' Nuts → New York,645,4.36,4.0,1.83,0,8,2.02,52.0
Lot's O' Nuts → Newfoundland and Labrador,6,8.0,7.5,2.53,5,11,50.0,0.0
Lot's O' Nuts → North Carolina,143,4.36,4.0,1.75,0,8,3.5,52.0
Lot's O' Nuts → North Dakota,5,4.2,3.0,1.64,3,6,0.0,54.29
Lot's O' Nuts → Ohio,262,3.82,4.0,1.99,0,8,3.05,59.71
Lot's O' Nuts → Oklahoma,41,4.78,5.0,1.93,0,7,0.0,46.0
Lot's O' Nuts → Ontario,28,3.36,3.0,1.19,2,5,0.0,66.29
Lot's O' Nuts → Oregon,77,4.64,5.0,1.62,2,8,2.6,48.0
Lot's O' Nuts → Pennsylvania,331,4.16,4.0,1.5,0,8,1.21,54.86
Lot's O' Nuts → Prince Edward Island,6,5.17,5.0,0.75,4,6,0.0,40.43
Lot's O' Nuts → Quebec,24,4.29,5.0,2.16,0,8,4.17,53.0
Lot's O' Nuts → Rhode Island,30,3.57,3.0,1.77,2,7,0.0,63.29
Lot's O' Nuts → South Carolina,21,3.9,4.0,1.7,0,7,0.0,58.57
Lot's O' Nuts → South Dakota,9,5.44,6.0,1.13,4,7,0.0,36.57
Lot's O' Nuts → Tennessee,109,4.76,5.0,1.57,1,8,2.75,46.29
Lot's O' Nuts → Texas,569,4.25,4.0,1.72,0,8,2.64,53.57
Lot's O' Nuts → Utah,29,4.76,5.0,1.33,1,6,0.0,46.29
Lot's O' Nuts → Vermont,5,4.4,4.0,0.89,4,6,0.0,51.43
Lot's O' Nuts → Virginia,109,4.02,4.0,1.72,0,7,0.0,56.86
Lot's O' Nuts → Washington,269,4.41,5.0,1.87,0,8,5.2,51.29
Lot's O' Nuts → West Virginia,2,3.0,3.0,2.83,1,5,0.0,71.43
Lot's O' Nuts → Wisconsin,58,4.24,5.0,1.79,0,7,0.0,53.71
Lot's O' Nuts → Wyoming,1,5.0,5.0,,5,5,0.0,42.86
Secret Factory → Alabama,3,3.33,3.0,1.53,2,5,0.0,66.71
Secret Factory → Alberta,2,5.5,5.5,0.71,5,6,0.0,35.71
Secret Factory → Arizona,5,4.4,4.0,1.67,3,7,0.0,51.43
Secret Factory → Arkansas,2,5.0,5.0,1.41,4,6,0.0,42.86
Secret Factory → California,31,3.97,4.0,1.68,0,7,0.0,57.57
Secret Factory → Colorado,7,3.29,3.0,2.21,1,7,0.0,67.29
Secret Factory → Connecticut,1,4.0,4.0,,4,4,0.0,57.14
Secret Factory → Delaware,1,5.0,5.0,,5,5,0.0,42.86
Secret Factory → Florida,7,4.57,5.0,1.4,2,6,0.0,49.0
Secret Factory → Georgia,7,4.57,5.0,0.79,3,5,0.0,49.0
Secret Factory → Illinois,13,3.54,4.0,1.51,1,7,0.0,63.71
Secret Factory → Indiana,4,4.75,5.0,1.26,3,6,0.0,46.43
Secret Factory → Kentucky,2,3.5,3.5,0.71,3,4,0.0,64.29
Secret Factory → Louisiana,2,4.5,4.5,0.71,4,5,0.0,50.0
Secret Factory → Maryland,3,5.33,5.0,1.53,4,7,0.0,38.14
Secret Factory → Massachusetts,2,3.5,3.5,2.12,2,5,0.0,64.29
